t,phi,omega,T,U,E
0.000000,3.054326,0.000000,0.000000,9.772670,9.772670
0.010000,3.054283,-0.008551,0.000037,9.772633,9.772670
0.020000,3.054155,-0.017111,0.000146,9.772524,9.772670
0.030000,3.053941,-0.025688,0.000330,9.772340,9.772670
0.040000,3.053641,-0.034289,0.000588,9.772082,9.772670
0.050000,3.053255,-0.042924,0.000921,9.771749,9.772670
0.060000,3.052783,-0.051601,0.001331,9.771339,9.772670
0.070000,3.052223,-0.060329,0.001820,9.770850,9.772670
0.080000,3.051576,-0.069115,0.002388,9.770282,9.772670
0.090000,3.050841,-0.077969,0.003040,9.769630,9.772670
0.100000,3.050016,-0.086899,0.003776,9.768894,9.772670
0.110000,3.049102,-0.095914,0.004600,9.768070,9.772670
0.120000,3.048098,-0.105023,0.005515,9.767155,9.772670
0.130000,3.047001,-0.114234,0.006525,9.766145,9.772670
0.140000,3.045813,-0.123557,0.007633,9.765037,9.772670
0.150000,3.044530,-0.133000,0.008845,9.763825,9.772670
0.160000,3.043152,-0.142574,0.010164,9.762506,9.772670
0.170000,3.041678,-0.152286,0.011596,9.761074,9.772670
0.180000,3.040106,-0.162148,0.013146,9.759524,9.772670
0.190000,3.038435,-0.172167,0.014821,9.757849,9.772670
0.200000,3.036662,-0.182355,0.016627,9.756043,9.772670
0.210000,3.034787,-0.192720,0.018571,9.754099,9.772670
0.220000,3.032807,-0.203274,0.020660,9.752010,9.772670
0.230000,3.030721,-0.214025,0.022903,9.749767,9.772670
0.240000,3.028526,-0.224986,0.025309,9.747361,9.772670
0.250000,3.026220,-0.236165,0.027887,9.744783,9.772670
0.260000,3.023802,-0.247575,0.030647,9.742023,9.772670
0.270000,3.021268,-0.259226,0.033599,9.739071,9.772670
0.280000,3.018616,-0.271130,0.036756,9.735914,9.772670
0.290000,3.015844,-0.283297,0.040129,9.732541,9.772670
0.300000,3.012950,-0.295740,0.043731,9.728939,9.772670
0.310000,3.009929,-0.308471,0.047577,9.725093,9.772670
0.320000,3.006779,-0.321502,0.051682,9.720988,9.772670
0.330000,3.003498,-0.334846,0.056061,9.716609,9.772670
0.340000,3.000081,-0.348515,0.060731,9.711939,9.772670
0.350000,2.996526,-0.362522,0.065711,9.706959,9.772670
0.360000,2.992829,-0.376882,0.071020,9.701650,9.772670
0.370000,2.988987,-0.391607,0.076678,9.695992,9.772670
0.380000,2.984996,-0.406712,0.082707,9.689963,9.772670
0.390000,2.980852,-0.422211,0.089131,9.683539,9.772670
0.400000,2.976551,-0.438118,0.095974,9.676696,9.772670
0.410000,2.972088,-0.454450,0.103262,9.669408,9.772670
0.420000,2.967460,-0.471221,0.111025,9.661645,9.772670
0.430000,2.962662,-0.488448,0.119291,9.653379,9.772670
0.440000,2.957690,-0.506146,0.128092,9.644578,9.772670
