t,phi,omega,phi_anal,omega_anal,T,U,E
0.000000,0.069813,0.000000,0.069813,-0.000000,0.000000,-9.786103,-9.786103
0.010000,0.069779,-0.006842,0.069779,-0.006848,0.000023,-9.786127,-9.786103
0.020000,0.069676,-0.013677,0.069676,-0.013688,0.000094,-9.786197,-9.786103
0.030000,0.069505,-0.020499,0.069505,-0.020516,0.000210,-9.786313,-9.786103
0.040000,0.069266,-0.027301,0.069266,-0.027323,0.000373,-9.786476,-9.786103
0.050000,0.068960,-0.034076,0.068959,-0.034104,0.000581,-9.786684,-9.786103
0.060000,0.068585,-0.040818,0.068584,-0.040851,0.000833,-9.786936,-9.786103
0.070000,0.068143,-0.047520,0.068142,-0.047558,0.001129,-9.787232,-9.786103
0.080000,0.067635,-0.054175,0.067633,-0.054218,0.001467,-9.787571,-9.786103
0.090000,0.067060,-0.060778,0.067058,-0.060825,0.001847,-9.787950,-9.786103
0.100000,0.066419,-0.067320,0.066417,-0.067372,0.002266,-9.788369,-9.786103
0.110000,0.065714,-0.073797,0.065711,-0.073854,0.002723,-9.788826,-9.786103
0.120000,0.064944,-0.080202,0.064940,-0.080263,0.003216,-9.789320,-9.786103
0.130000,0.064110,-0.086528,0.064106,-0.086593,0.003744,-9.789847,-9.786103
0.140000,0.063213,-0.092770,0.063208,-0.092838,0.004303,-9.790406,-9.786103
0.150000,0.062255,-0.098920,0.062249,-0.098992,0.004893,-9.790996,-9.786103
0.160000,0.061235,-0.104974,0.061229,-0.105049,0.005510,-9.791613,-9.786103
0.170000,0.060156,-0.110925,0.060148,-0.111004,0.006152,-9.792256,-9.786103
0.180000,0.059017,-0.116768,0.059009,-0.116849,0.006817,-9.792921,-9.786103
0.190000,0.057821,-0.122496,0.057812,-0.122579,0.007503,-9.793606,-9.786103
0.200000,0.056568,-0.128104,0.056558,-0.128190,0.008205,-9.794309,-9.786103
0.210000,0.055259,-0.133587,0.055248,-0.133674,0.008923,-9.795026,-9.786103
0.220000,0.053896,-0.138939,0.053885,-0.139027,0.009652,-9.795755,-9.786103
0.230000,0.052481,-0.144154,0.052468,-0.144245,0.010390,-9.796494,-9.786103
0.240000,0.051014,-0.149229,0.051000,-0.149320,0.011135,-9.797238,-9.786103
0.250000,0.049497,-0.154157,0.049482,-0.154249,0.011882,-9.797986,-9.786103
0.260000,0.047931,-0.158935,0.047916,-0.159027,0.012630,-9.798733,-9.786103
0.270000,0.046319,-0.163556,0.046302,-0.163649,0.013375,-9.799479,-9.786103
0.280000,0.044661,-0.168018,0.044644,-0.168110,0.014115,-9.800218,-9.786103
0.290000,0.042959,-0.172314,0.042941,-0.172406,0.014846,-9.800949,-9.786103
0.300000,0.041215,-0.176442,0.041196,-0.176534,0.015566,-9.801669,-9.786103
0.310000,0.039430,-0.180397,0.039411,-0.180488,0.016272,-9.802375,-9.786103
0.320000,0.037607,-0.184175,0.037587,-0.184265,0.016960,-9.803064,-9.786103
0.330000,0.035748,-0.187773,0.035726,-0.187861,0.017629,-9.803733,-9.786103
0.340000,0.033853,-0.191186,0.033830,-0.191273,0.018276,-9.804379,-9.786103
0.350000,0.031924,-0.194412,0.031901,-0.194497,0.018898,-9.805001,-9.786103
0.360000,0.029965,-0.197448,0.029941,-0.197531,0.019493,-9.805596,-9.786103
0.370000,0.027976,-0.200289,0.027951,-0.200371,0.020058,-9.806161,-9.786103
0.380000,0.025960,-0.202935,0.025934,-0.203014,0.020591,-9.806695,-9.786103
0.390000,0.023918,-0.205381,0.023892,-0.205458,0.021091,-9.807194,-9.786103
0.400000,0.021853,-0.207626,0.021826,-0.207701,0.021554,-9.807658,-9.786103
0.410000,0.019766,-0.209668,0.019738,-0.209740,0.021980,-9.808084,-9.786103
0.420000,0.017660,-0.211504,0.017632,-0.211573,0.022367,-9.808470,-9.786103
0.430000,0.015537,-0.213132,0.015507,-0.213199,0.022713,-9.808816,-9.786103
0.440000,0.013398,-0.214551,0.013368,-0.214615,0.023016,-9.809119,-9.786103
0.450000,0.011247,-0.215760,0.011216,-0.215821,0.023276,-9.809380,-9.786103
0.460000,0.009084,-0.216758,0.009053,-0.216815,0.023492,-9.809595,-9.786103
0.470000,0.006912,-0.217542,0.006880,-0.217597,0.023662,-9.809766,-9.786103
0.480000,0.004734,-0.218114,0.004701,-0.218165,0.023787,-9.809890,-9.786103
0.490000,0.002551,-0.218471,0.002518,-0.218519,0.023865,-9.809968,-9.786103
0.500000,0.000365,-0.218614,0.000332,-0.218659,0.023896,-9.809999,-9.786103
0.510000,-0.001821,-0.218542,-0.001855,-0.218584,0.023880,-9.809984,-9.786103
0.520000,-0.004005,-0.218257,-0.004039,-0.218295,0.023818,-9.809921,-9.786103
0.530000,-0.006185,-0.217757,-0.006220,-0.217792,0.023709,-9.809812,-9.786103
0.540000,-0.008360,-0.217043,-0.008394,-0.217075,0.023554,-9.809657,-9.786103
0.550000,-0.010526,-0.216117,-0.010561,-0.216145,0.023353,-9.809457,-9.786103
0.560000,-0.012681,-0.214979,-0.012717,-0.215003,0.023108,-9.809211,-9.786103
0.570000,-0.014824,-0.213629,-0.014860,-0.213650,0.022819,-9.808922,-9.786103
